Lektion;Hebräisch;Deutsch;Wortart;;
6;רוקד;tanzen;Verb;;
6;אדם;Mensch / Mensch;Nomen;;
6;אוכל;Essen / Nahrung;Nomen;;
6;ארוחה;Mahlzeit;Nomen;;
6;בית ספר;Schule;Nomen;;
6;הורים;Eltern;Nomen;;
6;הפסקה;Pause / Auszeit;Nomen;;
6;חקלאות;Landwirtschaft;Nomen;;
6;טבע;Natur;Nomen;;
6;טיול;Ausflug / Wanderung;Nomen;;
6;מכונה;Maschine;Nomen;;
6;מתנדב / מתנדבת;Freiwillige/r;Nomen;;
6;שאלה;Frage;Nomen;;
6;תבלין;Gewürz;Nomen;;
6;אִידֵאוֹלוֹגְיָה;Ideologie;Nomen;;
6;דִּיאֶטָה;Diät;Nomen;;
6;כִימִיקָלים;Chemikalien;Nomen;;
6;מוֹדֶרְנִיזַצְיָה;Modernisierung;Nomen;;
6;מִיקְרוֹ-גַּל;Mikrowelle;Nomen;;
6;קילומטר;Kilometer;Nomen;;
6;אורגני;organisch / bio;Adjektiv;;
6;אַנְתְּרוֹפּוֹסוֹפִי;anthroposophisch;Adjektiv;;
6;מעניין;interessant;Adjektiv;;
6;נעים;angenehm / nett;Adjektiv;;
6;קל;leicht / einfach;Adjektiv;;
6;עשרים;zwanzig;Zahl;;
6;שלושים;dreißig;Zahl;;
6;ארבעים;vierzig;Zahl;;
6;חמישים;fünfzig;Zahl;;
6;שישים;sechzig;Zahl;;
6;שבעים;siebzig;Zahl;;
6;שמונים;achtzig;Zahl;;
6;תשעים;neunzig;Zahl;;
6;מאה;hundert;Zahl;;
6;בית ילדים;Kinderhaus (im Kibbuz);Andere;;
6;בלי;ohne;Andere;;
6;ביחד;zusammen;Andere;;
6;כי;weil / denn;Andere;;
6;לפי;gemäß / nach;Andere;;
6;מה נשמע?;Was ist los? / Was gibt's?;Andere;;
6;ערב שבת;Freitagabend / Schabbatbeginn;Andere;;
6;למה?;warum?;Fragewort;;
  יחידה / Einheit ב;;;;;
ב;אנרגיה;Energie;Nomen;;
ב;סימסטר;Semester;Nomen;;
ב;אידאלי;ideal;Adjektiv;;
ב;נוֹרְמָלִי;normal;Adjektiv;;
ב;רֵאָלִי;real / realistisch;Adjektiv;;
ב;רֶפוֹרְמִי;reformiert (jüdisch);Adjektiv;;
  יחידה / Einheit 7;;;;;
7;בונה;bauen / aufbauen;Verb;;
7;להיות;sein;Verb;;
7;עולה;einwandern / aufsteigen;Verb;;
7;בחינה;Prüfung / Examen;Nomen;;
7;בעיה;Problem;Nomen;;
7;כובע;Hut / Mütze;Nomen;;
7;כרטיס;Ticket / Karte;Nomen;;
7;מדריך / מדריכה;Reiseführer/in / Betreuer/in;Nomen;;
7;מלחמה;Krieg;Nomen;;
7;סיפור;Geschichte / Erzählung;Nomen;;
7;סנדל;Sandale;Nomen;;
7;צבא;Armee / Militär;Nomen;;
7;שמים;Himmel;Nomen;;
7;שנה;Jahr;Nomen;;
7;אופטימיות;Optimismus;Nomen;;
7;הומור;Humor;Nomen;;
7;שׁוֹקוֹ;Kakao;Nomen;;
7;כאפייה;Kufiya ;Nomen;;
7;סינמטק;Kinemathek / Filmclub;Nomen;;
7;סלנג;Slang;Nomen;;
7;פסטיבל;Festival;Nomen;;
7;קונפליקט;Konflikt;Nomen;;
7;אשכנזי;Aschkenase (europ. Jude);Adjektiv;;
7;משוגע;verrückt;Adjektiv;;
7;ספרדי;sephardisch / spanisch;Adjektiv;;
7;עֲרָבִי;arabisch;Adjektiv;;
7;ציוני;zionistisch;Adjektiv;;
7;דוקומנטרי;dokumentarisch;Adjektiv;;
